ANO_MES,COMARCA,SERVENTIA,novos_casos,previsto_m0_naive,previsto_m1_linear,previsto_ensemble,erro_ensemble,erro_pct,previsto_m3_lgbm,erro_lgbm
2024-01,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,1.4,1.4,-1.4,,1.2,-1.2
2024-02,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,2.5,2.5,-2.5,,1.2,-1.2
2024-03,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,2.7,2.7,-2.7,,1.2,-1.2
2024-04,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,2.6,2.6,-2.6,,1.2,-1.2
2024-05,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,3.4,3.4,-3.4,,1.2,-1.2
2024-06,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,4.1,4.1,-4.1,,1.2,-1.2
2024-07,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,2.5,2.5,-2.5,,1.2,-1.2
2024-08,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,4.0,4.0,-4.0,,1.2,-1.2
2024-09,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,3.6,3.6,-3.6,,1.2,-1.2
2024-10,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,2.2,2.2,-2.2,,1.2,-1.2
2024-11,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,1.2,1.2,-1.2,,1.2,-1.2
2024-12,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.0,0.3,0.3,-0.3,,1.2,-1.2
2024-01,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,9,12.0,12.3,12.3,-3.3,36.7,13.0,-4.0
