ANO_MES,COMARCA,SERVENTIA,novos_casos,previsto_m3_lgbm,erro_lgbm
2025-01,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-02,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-03,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-04,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-05,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-06,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-07,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-08,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-09,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-10,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-11,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-12,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,0,0.8,-0.8
2025-01,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,4,12.8,-8.8
2025-02,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,8,12.2,-4.2
2025-03,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,6,10.4,-4.4
2025-04,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,17,8.5,8.5
2025-05,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,12,12.0,0.0
2025-06,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14,12.2,1.8
2025-07,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,4,12.7,-8.7
2025-08,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14,9.9,4.1
2025-09,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,9,11.9,-2.9
