ANO_MES,COMARCA,SERVENTIA,previsao_novos_casos
2026-01,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,1
2026-02,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,1
2026-03,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,1
2026-04,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,1
2026-05,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,1
2026-06,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,2
2026-07,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,2
2026-08,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,2
2026-09,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,2
2026-10,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,2
2026-11,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,3
2026-12,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,3
2026-01,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,8
2026-02,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,8
2026-03,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,9
2026-04,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,9
2026-05,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,9
2026-06,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,9
2026-07,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,9
2026-08,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,10
2026-09,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,10
2026-10,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,10
2026-11,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,10
2026-12,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,10
2026-01,ABADIÂNIA,Abadiânia - Juizado Especial Cível,52
2026-02,ABADIÂNIA,Abadiânia - Juizado Especial Cível,52
2026-03,ABADIÂNIA,Abadiânia - Juizado Especial Cível,58
2026-04,ABADIÂNIA,Abadiânia - Juizado Especial Cível,49
2026-05,ABADIÂNIA,Abadiânia - Juizado Especial Cível,52
2026-06,ABADIÂNIA,Abadiânia - Juizado Especial Cível,51
2026-07,ABADIÂNIA,Abadiânia - Juizado Especial Cível,50
2026-08,ABADIÂNIA,Abadiânia - Juizado Especial Cível,52
2026-09,ABADIÂNIA,Abadiânia - Juizado Especial Cível,50
2026-10,ABADIÂNIA,Abadiânia - Juizado Especial Cível,50
2026-11,ABADIÂNIA,Abadiânia - Juizado Especial Cível,47
2026-12,ABADIÂNIA,Abadiânia - Juizado Especial Cível,41
2026-01,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,4
2026-02,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,5
2026-03,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,5
2026-04,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,5
2026-05,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,5
2026-06,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,6
2026-07,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,6
2026-08,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,6
2026-09,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,6
2026-10,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,6
2026-11,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,7
2026-12,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,6
2026-01,ABADIÂNIA,Abadiânia - Vara Criminal,21
2026-02,ABADIÂNIA,Abadiânia - Vara Criminal,20
2026-03,ABADIÂNIA,Abadiânia - Vara Criminal,21
2026-04,ABADIÂNIA,Abadiânia - Vara Criminal,21
2026-05,ABADIÂNIA,Abadiânia - Vara Criminal,21
2026-06,ABADIÂNIA,Abadiânia - Vara Criminal,22
2026-07,ABADIÂNIA,Abadiânia - Vara Criminal,22
2026-08,ABADIÂNIA,Abadiânia - Vara Criminal,22
2026-09,ABADIÂNIA,Abadiânia - Vara Criminal,22
2026-10,ABADIÂNIA,Abadiânia - Vara Criminal,22
2026-11,ABADIÂNIA,Abadiânia - Vara Criminal,21
2026-12,ABADIÂNIA,Abadiânia - Vara Criminal,19
2026-01,ABADIÂNIA,Abadiânia - Vara Cível,31
2026-02,ABADIÂNIA,Abadiânia - Vara Cível,31
2026-03,ABADIÂNIA,Abadiânia - Vara Cível,31
2026-04,ABADIÂNIA,Abadiânia - Vara Cível,30
2026-05,ABADIÂNIA,Abadiânia - Vara Cível,31
2026-06,ABADIÂNIA,Abadiânia - Vara Cível,32
2026-07,ABADIÂNIA,Abadiânia - Vara Cível,31
2026-08,ABADIÂNIA,Abadiânia - Vara Cível,32
2026-09,ABADIÂNIA,Abadiânia - Vara Cível,32
2026-10,ABADIÂNIA,Abadiânia - Vara Cível,31
2026-11,ABADIÂNIA,Abadiânia - Vara Cível,30
2026-12,ABADIÂNIA,Abadiânia - Vara Cível,26
2026-01,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,3
2026-02,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,3
2026-03,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2026-04,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2026-05,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2026-06,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2026-07,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2026-08,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2026-09,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2026-10,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,5
2026-11,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,5
2026-12,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,5
2026-01,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,1
2026-02,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,2
2026-03,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,2
2026-04,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,2
2026-05,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,2
2026-06,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,3
2026-07,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,3
2026-08,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,3
2026-09,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,3
2026-10,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,3
2026-11,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2026-12,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2026-01,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-02,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-03,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-04,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-05,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-06,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-07,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-08,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-09,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-10,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-11,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-12,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2026-01,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,21
2026-02,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,21
2026-03,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,23
2026-04,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,22
2026-05,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,22
2026-06,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,22
2026-07,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,22
2026-08,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,22
2026-09,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,22
2026-10,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,23
2026-11,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,22
2026-12,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,19
2026-01,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,1
2026-02,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,1
2026-03,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,1
2026-04,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,1
2026-05,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,1
2026-06,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,2
2026-07,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,2
2026-08,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,2
2026-09,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,2
2026-10,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,2
2026-11,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,3
2026-12,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,3
2026-01,ACREÚNA,Acreúna - Juizado Especial Criminal,6
2026-02,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-03,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-04,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-05,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-06,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-07,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-08,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-09,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-10,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-11,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-12,ACREÚNA,Acreúna - Juizado Especial Criminal,7
2026-01,ACREÚNA,Acreúna - Juizado Especial Cível,45
2026-02,ACREÚNA,Acreúna - Juizado Especial Cível,45
2026-03,ACREÚNA,Acreúna - Juizado Especial Cível,49
2026-04,ACREÚNA,Acreúna - Juizado Especial Cível,44
2026-05,ACREÚNA,Acreúna - Juizado Especial Cível,52
2026-06,ACREÚNA,Acreúna - Juizado Especial Cível,51
2026-07,ACREÚNA,Acreúna - Juizado Especial Cível,47
2026-08,ACREÚNA,Acreúna - Juizado Especial Cível,49
2026-09,ACREÚNA,Acreúna - Juizado Especial Cível,50
2026-10,ACREÚNA,Acreúna - Juizado Especial Cível,49
2026-11,ACREÚNA,Acreúna - Juizado Especial Cível,47
2026-12,ACREÚNA,Acreúna - Juizado Especial Cível,41
2026-01,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-02,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,8
2026-03,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-04,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-05,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-06,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-07,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-08,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-09,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-10,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-11,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-12,ACREÚNA,Acreúna - Juizado das Fazendas Públicas,7
2026-01,ACREÚNA,Acreúna - Pai Presente,1
2026-02,ACREÚNA,Acreúna - Pai Presente,1
2026-03,ACREÚNA,Acreúna - Pai Presente,1
2026-04,ACREÚNA,Acreúna - Pai Presente,1
2026-05,ACREÚNA,Acreúna - Pai Presente,1
2026-06,ACREÚNA,Acreúna - Pai Presente,2
2026-07,ACREÚNA,Acreúna - Pai Presente,2
2026-08,ACREÚNA,Acreúna - Pai Presente,2
2026-09,ACREÚNA,Acreúna - Pai Presente,2
2026-10,ACREÚNA,Acreúna - Pai Presente,2
2026-11,ACREÚNA,Acreúna - Pai Presente,3
2026-12,ACREÚNA,Acreúna - Pai Presente,3
2026-01,ACREÚNA,Acreúna - Vara Criminal,31
2026-02,ACREÚNA,Acreúna - Vara Criminal,33
2026-03,ACREÚNA,Acreúna - Vara Criminal,32
2026-04,ACREÚNA,Acreúna - Vara Criminal,30
2026-05,ACREÚNA,Acreúna - Vara Criminal,31
2026-06,ACREÚNA,Acreúna - Vara Criminal,32
2026-07,ACREÚNA,Acreúna - Vara Criminal,31
2026-08,ACREÚNA,Acreúna - Vara Criminal,32
2026-09,ACREÚNA,Acreúna - Vara Criminal,32
2026-10,ACREÚNA,Acreúna - Vara Criminal,32
2026-11,ACREÚNA,Acreúna - Vara Criminal,30
2026-12,ACREÚNA,Acreúna - Vara Criminal,27
2026-01,ACREÚNA,Acreúna - Vara Cível,52
2026-02,ACREÚNA,Acreúna - Vara Cível,55
2026-03,ACREÚNA,Acreúna - Vara Cível,58
2026-04,ACREÚNA,Acreúna - Vara Cível,49
2026-05,ACREÚNA,Acreúna - Vara Cível,53
2026-06,ACREÚNA,Acreúna - Vara Cível,53
2026-07,ACREÚNA,Acreúna - Vara Cível,52
2026-08,ACREÚNA,Acreúna - Vara Cível,53
2026-09,ACREÚNA,Acreúna - Vara Cível,49
2026-10,ACREÚNA,Acreúna - Vara Cível,50
2026-11,ACREÚNA,Acreúna - Vara Cível,48
2026-12,ACREÚNA,Acreúna - Vara Cível,41
2026-01,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,2
2026-02,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,3
2026-03,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,3
2026-04,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,3
2026-05,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,4
2026-06,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,4
2026-07,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,4
2026-08,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,4
2026-09,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,4
2026-10,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,4
2026-11,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,4
2026-12,ACREÚNA,Acreúna - Vara da Infância e Juventude Cível,5
2026-01,ACREÚNA,Acreúna - Vara da Infância e Juventude Infracional,3
