Feature,Importância
lag_1,613
SERVENTIA,505
rolling_mean_3,256
roc_12,203
rolling_q75_3,186
fourier_12m_cos_1,185
rolling_mean_6,179
rolling_mean_12,171
lag_12,170
rolling_q50_3,169
fourier_3m_sin_2,168
lag_2,166
rolling_q50_6,161
roc_pct_12,157
lag_6,150
fourier_12m_sin_2,148
rolling_iqr_3,140
mes_cos,140
lag_3,136
rolling_q25_3,135
mes_do_ano,127
serventia_comarca_ratio,126
roc_pct_1,124
roc_6,123
fourier_4m_sin_1,119
roc_pct_3,119
rolling_iqr_6,116
seasonal_index,113
mes_sin,113
rolling_q75_6,112
roc_1,106
fourier_12m_sin_1,105
rolling_q50_12,104
roc_3,104
rolling_q25_12,103
deviation_3,100
roc_pct_6,97
rolling_q25_6,95
deviation_6,93
rolling_std_3,92
rolling_std_3_lag_1,92
deviation_12,90
fourier_3m_cos_2,81
volatility_accel,79
COMARCA,79
fourier_6m_sin_2,78
rolling_iqr_12,78
detrended_3,77
rolling_q75_12,71
comarca_mean_lag,70
detrended_6,69
fourier_4m_sin_2,66
rolling_std_3_lag_2,62
fourier_4m_cos_1,59
rolling_std_3_lag_6,57
fourier_12m_cos_2,55
detrended_12,55
deviation_from_comarca,48
rolling_std_3_lag_3,45
fourier_6m_sin_1,45
seasonal_index_log,32
fourier_6m_cos_2,26
fourier_3m_sin_1,25
area_civel,11
anomaly_count_6m,8
fourier_3m_cos_1,7
fourier_6m_cos_1,7
fourier_4m_cos_2,4
trimestre,3
is_pandemia,3
is_recesso,3
is_anomaly,3
